Script started on 2026-09-12 19:03:25+02:00 [TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="178" LINES="46"]
                                                                                                                                                                                  ]0;max@max1: ~[0m[27m[24m[J[32m┌──([1m[32m[34mmax㉿max1[0m[34m[32m)-[[1m[32m[39m~[0m[32m]
└─[1m[32m[34m$[0m[34m[39m [K[?1h=[?2004hp[4mp[24m[4mp[4ms[24m[24m[36mp[24m[36ms[39m[36mp[36ms[36m [39m[36mp[36ms[39m[39m -[32m-[39m[32m-[32me[39m[32me[32mf[39m[?1l>[?2004l
UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 18:05 ?        00:00:00 /sbin/init splash
root           2       0  0 18:05 ?        00:00:00 [kthreadd]
root           3       2  0 18:05 ?        00:00:00 [pool_workqueue_release]
root           4       2  0 18:05 ?        00:00:00 [kworker/R-rcu_gp]
root           5       2  0 18:05 ?        00:00:00 [kworker/R-sync_wq]
root           6       2  0 18:05 ?        00:00:00 [kworker/R-kvfree_rcu_reclaim]
root           7       2  0 18:05 ?        00:00:00 [kworker/R-slub_flushwq]
root           8       2  0 18:05 ?        00:00:00 [kworker/R-netns]
root          10       2  0 18:05 ?        00:00:00 [kworker/0:0H-events_highpri]
root          12       2  0 18:05 ?        00:00:00 [kworker/u16:0-ipv6_addrconf]
root          13       2  0 18:05 ?        00:00:00 [kworker/R-mm_percpu_wq]
root          14       2  0 18:05 ?        00:00:00 [ksoftirqd/0]
root          15       2  0 18:05 ?        00:00:01 [rcu_preempt]
root          16       2  0 18:05 ?        00:00:00 [rcu_exp_par_gp_kthread_worker/0]
root          17       2  0 18:05 ?        00:00:00 [rcu_exp_gp_kthread_worker]
root          18       2  0 18:05 ?        00:00:00 [migration/0]
root          19       2  0 18:05 ?        00:00:00 [idle_inject/0]
root          20       2  0 18:05 ?        00:00:00 [cpuhp/0]
root          21       2  0 18:05 ?        00:00:00 [cpuhp/1]
root          22       2  0 18:05 ?        00:00:00 [idle_inject/1]
root          23       2  0 18:05 ?        00:00:00 [migration/1]
root          24       2  0 18:05 ?        00:00:00 [ksoftirqd/1]
root          26       2  0 18:05 ?        00:00:00 [kworker/1:0H-events_highpri]
root          27       2  0 18:05 ?        00:00:00 [cpuhp/2]
root          28       2  0 18:05 ?        00:00:00 [idle_inject/2]
root          29       2  0 18:05 ?        00:00:00 [migration/2]
root          30       2  0 18:05 ?        00:00:00 [ksoftirqd/2]
root          33       2  0 18:05 ?        00:00:00 [cpuhp/3]
root          34       2  0 18:05 ?        00:00:00 [idle_inject/3]
root          35       2  0 18:05 ?        00:00:00 [migration/3]
root          36       2  0 18:05 ?        00:00:00 [ksoftirqd/3]
root          38       2  0 18:05 ?        00:00:00 [kworker/3:0H-kblockd]
root          39       2  0 18:05 ?        00:00:00 [kworker/u17:0-events_unbound]
root          40       2  0 18:05 ?        00:00:00 [kworker/u18:0-events_unbound]
root          42       2  0 18:05 ?        00:00:00 [kworker/u20:0-flush-254:0]
root          45       2  0 18:05 ?        00:00:00 [kdevtmpfs]
root          46       2  0 18:05 ?        00:00:00 [kworker/R-inet_frag_wq]
root          47       2  0 18:05 ?        00:00:00 [rcu_tasks_kthread]
root          48       2  0 18:05 ?        00:00:00 [rcu_tasks_rude_kthread]
root          49       2  0 18:05 ?        00:00:00 [rcu_tasks_trace_kthread]
root          50       2  0 18:05 ?        00:00:00 [kauditd]
root          51       2  0 18:05 ?        00:00:00 [khungtaskd]
root          52       2  0 18:05 ?        00:00:00 [oom_reaper]
root          54       2  0 18:05 ?        00:00:00 [kworker/R-writeback]
root          55       2  0 18:05 ?        00:00:00 [kworker/u17:2-ext4-rsv-conversion]
root          56       2  0 18:05 ?        00:00:00 [kcompactd0]
root          57       2  0 18:05 ?        00:00:00 [ksmd]
root          58       2  0 18:05 ?        00:00:00 [khugepaged]
root          59       2  0 18:05 ?        00:00:00 [kworker/R-kblockd]
root          60       2  0 18:05 ?        00:00:00 [kworker/R-blkcg_punt_bio]
root          61       2  0 18:05 ?        00:00:00 [kworker/R-kintegrityd]
root          62       2  0 18:05 ?        00:00:00 [irq/9-acpi]
root          65       2  0 18:05 ?        00:00:00 [kworker/R-tpm_dev_wq]
root          66       2  0 18:05 ?        00:00:00 [kworker/R-edac-poller]
root          67       2  0 18:05 ?        00:00:00 [kworker/R-devfreq_wq]
root          68       2  0 18:05 ?        00:00:00 [kworker/R-quota_events_unbound]
root          69       2  0 18:05 ?        00:00:00 [kworker/u20:1-kvfree_rcu_reclaim]
root          70       2  0 18:05 ?        00:00:00 [kswapd0]
root          71       2  0 18:05 ?        00:00:00 [kdamond.0]
root          73       2  0 18:05 ?        00:00:00 [kworker/2:1-events]
root          75       2  0 18:05 ?        00:00:00 [kworker/R-kthrotld]
root          76       2  0 18:05 ?        00:00:00 [irq/24-aerdrv]
root          77       2  0 18:05 ?        00:00:00 [irq/25-aerdrv]
root          78       2  0 18:05 ?        00:00:00 [irq/26-aerdrv]
root          79       2  0 18:05 ?        00:00:00 [irq/27-aerdrv]
root          80       2  0 18:05 ?        00:00:00 [irq/28-aerdrv]
root          81       2  0 18:05 ?        00:00:00 [irq/29-aerdrv]
root          82       2  0 18:05 ?        00:00:00 [irq/30-aerdrv]
root          83       2  0 18:05 ?        00:00:00 [irq/31-aerdrv]
root          84       2  0 18:05 ?        00:00:00 [irq/32-aerdrv]
root          85       2  0 18:05 ?        00:00:00 [irq/33-aerdrv]
root          86       2  0 18:05 ?        00:00:00 [irq/34-aerdrv]
root          87       2  0 18:05 ?        00:00:00 [irq/35-aerdrv]
root          88       2  0 18:05 ?        00:00:00 [irq/36-aerdrv]
root          89       2  0 18:05 ?        00:00:00 [irq/37-aerdrv]
root          90       2  0 18:05 ?        00:00:00 [kworker/R-acpi_thermal_pm]
root          91       2  0 18:05 ?        00:00:00 [kworker/R-mld]
root          93       2  0 18:05 ?        00:00:00 [kworker/R-ipv6_addrconf]
root          94       2  0 18:05 ?        00:00:00 [kworker/0:1H-kblockd]
root          95       2  0 18:05 ?        00:00:00 [kworker/R-kstrp]
root          96       2  0 18:05 ?        00:00:00 [kworker/u16:1-netns]
root         103       2  0 18:05 ?        00:00:00 [kworker/u21:0]
root         104       2  0 18:05 ?        00:00:00 [kworker/u22:0]
root         105       2  0 18:05 ?        00:00:00 [kworker/u23:0]
root         106       2  0 18:05 ?        00:00:00 [kworker/u24:0]
root         107       2  0 18:05 ?        00:00:00 [kworker/u25:0]
root         199       2  0 18:05 ?        00:00:00 [kworker/2:1H-kblockd]
root         231       2  0 18:05 ?        00:00:00 [kworker/1:1H-kblockd]
root         251       2  0 18:05 ?        00:00:00 [watchdogd]
root         252       2  0 18:05 ?        00:00:00 [kworker/R-ata_sff]
root         253       2  0 18:05 ?        00:00:00 [scsi_eh_0]
root         254       2  0 18:05 ?        00:00:00 [kworker/R-scsi_tmf_0]
root         255       2  0 18:05 ?        00:00:00 [scsi_eh_1]
root         256       2  0 18:05 ?        00:00:00 [kworker/R-scsi_tmf_1]
root         257       2  0 18:05 ?        00:00:00 [scsi_eh_2]
root         258       2  0 18:05 ?        00:00:00 [kworker/R-scsi_tmf_2]
root         259       2  0 18:05 ?        00:00:00 [scsi_eh_3]
root         260       2  0 18:05 ?        00:00:00 [kworker/R-scsi_tmf_3]
root         261       2  0 18:05 ?        00:00:00 [scsi_eh_4]
root         262       2  0 18:05 ?        00:00:00 [kworker/R-scsi_tmf_4]
root         263       2  0 18:05 ?        00:00:00 [scsi_eh_5]
root         264       2  0 18:05 ?        00:00:00 [kworker/R-scsi_tmf_5]
root         266       2  0 18:05 ?        00:00:00 [kworker/u19:3-kvfree_rcu_reclaim]
root         268       2  0 18:05 ?        00:00:00 [kworker/u19:5-kvfree_rcu_reclaim]
root         310       2  0 18:05 ?        00:00:00 [kworker/3:1H-kblockd]
root         314       2  0 18:05 ?        00:00:00 [jbd2/vda1-8]
root         315       2  0 18:05 ?        00:00:00 [kworker/R-ext4-rsv-conversion]
root         339       2  0 18:05 ?        00:00:00 [hwrng]
root         377       1  0 18:05 ?        00:00:00 /usr/lib/systemd/systemd-journald
systemd+     391       1  0 18:05 ?        00:00:00 /usr/lib/systemd/systemd-timesyncd
root         393       1  0 18:05 ?        00:00:00 /usr/lib/systemd/systemd-userdbd
root         394       1  0 18:05 ?        00:00:00 /usr/lib/systemd/systemd-udevd
root         417       2  0 18:05 ?        00:00:00 [psimon]
root         427       2  0 18:05 ?        00:00:00 [psimon]
root         495       2  0 18:05 ?        00:00:00 [kworker/2:2H-kblockd]
root         542       1  0 18:06 ?        00:00:00 /usr/sbin/haveged --Foreground --verbose=1
